Rank,Team,Games,W-L,Goals,Shots,Pct.,Date,Academic Year
28,Princeton (Ivy League),4,2-2,48,155,0.310,03/06/2018,2018.0
29,Army West Point (Patriot),5,4-1,64,207,0.309,03/06/2018,2018.0
30,Furman (SoCon),6,0-6,59,191,0.309,03/06/2018,2018.0
31,Harvard (Ivy League),4,3-1,49,159,0.308,03/06/2018,2018.0
32,High Point (SoCon),6,0-6,59,195,0.303,03/06/2018,2018.0
33,Michigan (Big Ten),5,3-2,57,190,0.300,03/06/2018,2018.0
34,NJIT (Independent),7,0-7,50,171,0.292,03/06/2018,2018.0
35,Rutgers (Big Ten),5,4-1,52,178,0.292,03/06/2018,2018.0
36,Drexel (CAA),4,1-3,37,127,0.291,03/06/2018,2018.0
37,Boston U. (Patriot),6,4-2,62,213,0.291,03/06/2018,2018.0
38,Stony Brook (America East),5,1-4,41,141,0.291,03/06/2018,2018.0
39,Dartmouth (Ivy League),4,2-2,37,129,0.287,03/06/2018,2018.0
40,Bryant (NEC),6,2-4,65,231,0.281,03/06/2018,2018.0
41,Monmouth (MAAC),4,2-2,45,160,0.281,03/06/2018,2018.0
42,Detroit Mercy (MAAC),6,2-4,47,171,0.275,03/06/2018,2018.0
43,UMass Lowell (America East),5,2-3,55,202,0.272,03/06/2018,2018.0
44,Villanova (Big East),6,5-1,68,251,0.271,03/06/2018,2018.0
45,Wagner (NEC),5,2-3,39,144,0.271,03/06/2018,2018.0
46,Penn (Ivy League),5,3-2,46,170,0.271,03/06/2018,2018.0
46,Johns Hopkins (Big Ten),4,2-2,46,170,0.271,03/06/2018,2018.0
48,Providence (Big East),6,3-3,57,211,0.270,03/06/2018,2018.0
49,Marquette (Big East),4,3-1,38,141,0.270,03/06/2018,2018.0
50,Marist (MAAC),7,1-6,54,201,0.269,03/06/2018,2018.0
51,Manhattan (MAAC),6,3-3,51,190,0.268,03/06/2018,2018.0
52,Quinnipiac (MAAC),5,2-3,53,198,0.268,03/06/2018,2018.0
53,Towson (CAA),5,2-3,47,178,0.264,03/06/2018,2018.0
54,Massachusetts (CAA),5,1-4,48,186,0.258,03/06/2018,2018.0
55,Siena (MAAC),3,2-1,33,129,0.256,03/06/2018,2018.0
56,Hobart (NEC),5,2-3,56,221,0.253,03/06/2018,2018.0
57,Richmond (SoCon),5,2-3,39,156,0.250,03/06/2018,2018.0
58,Mercer (SoCon),6,2-4,45,182,0.247,03/06/2018,2018.0
59,Cleveland St. (Independent),7,1-6,56,228,0.246,03/06/2018,2018.0
60,Bellarmine (SoCon),6,2-4,48,201,0.239,03/06/2018,2018.0
61,Fairfield (CAA),6,2-4,52,219,0.237,03/06/2018,2018.0
62,Navy (Patriot),6,3-3,44,187,0.235,03/06/2018,2018.0
63,Binghamton (America East),6,0-6,36,160,0.225,03/06/2018,2018.0
64,VMI (Southland),4,1-3,35,158,0.222,03/06/2018,2018.0
65,UMBC (America East),4,1-3,27,124,0.218,03/06/2018,2018.0
66,Hofstra (CAA),3,1-2,23,106,0.217,03/06/2018,2018.0
67,Hampton (DI Independent),4,1-3,33,155,0.213,03/06/2018,2018.0
68,Air Force (SoCon),5,1-4,33,157,0.210,03/06/2018,2018.0
69,Lafayette (Patriot),6,2-4,46,219,0.210,03/06/2018,2018.0
1,Duke (ACC),6,5-1,93,218,0.427,03/05/2018,2018.0
2,Denver (Big East),5,4-1,63,154,0.409,03/05/2018,2018.0
3,Canisius (MAAC),4,3-1,50,125,0.400,03/05/2018,2018.0
4,Vermont (America East),6,6-0,71,185,0.384,03/05/2018,2018.0
5,Colgate (Patriot),5,3-2,70,183,0.383,03/05/2018,2018.0
6,Maryland (Big Ten),5,5-0,64,171,0.374,03/05/2018,2018.0
7,Hartford (America East),4,1-3,48,129,0.372,03/05/2018,2018.0
8,St. John's (NY) (Big East),4,2-2,46,124,0.371,03/05/2018,2018.0
9,Cornell (Ivy League),3,1-2,35,95,0.368,03/05/2018,2018.0
10,Yale (Ivy League),4,3-1,48,136,0.353,03/05/2018,2018.0
11,Georgetown (Big East),4,4-0,55,157,0.350,03/05/2018,2018.0
12,Penn St. (Big Ten),5,3-2,65,187,0.348,03/05/2018,2018.0
13,Virginia (ACC),5,4-1,73,213,0.343,03/05/2018,2018.0
14,Notre Dame (ACC),3,2-1,31,91,0.341,03/05/2018,2018.0
15,Robert Morris (NEC),5,3-2,61,181,0.337,03/05/2018,2018.0
16,Lehigh (Patriot),5,4-1,62,184,0.337,03/05/2018,2018.0
17,Ohio St. (Big Ten),6,5-1,64,190,0.337,03/05/2018,2018.0
18,Jacksonville (SoCon),6,2-4,66,200,0.330,03/05/2018,2018.0
19,Delaware (CAA),4,3-1,54,164,0.329,03/05/2018,2018.0
20,Sacred Heart (NEC),5,4-1,64,195,0.328,03/05/2018,2018.0
21,Furman (SoCon),5,0-5,54,165,0.327,03/05/2018,2018.0
22,Bucknell (Patriot),5,3-2,54,166,0.325,03/05/2018,2018.0
23,Brown (Ivy League),3,1-2,37,117,0.316,03/05/2018,2018.0
24,North Carolina (ACC),7,6-1,86,274,0.314,03/05/2018,2018.0
25,Loyola Maryland (Patriot),5,4-1,68,217,0.313,03/05/2018,2018.0
26,Syracuse (ACC),4,3-1,47,151,0.311,03/05/2018,2018.0
27,Mount St. Mary's (NEC),6,2-4,73,235,0.311,03/05/2018,2018.0
28,Army West Point (Patriot),5,4-1,64,207,0.309,03/05/2018,2018.0
29,Harvard (Ivy League),4,3-1,49,159,0.308,03/05/2018,2018.0
30,UAlbany (America East),3,3-0,44,143,0.308,03/05/2018,2018.0
31,Princeton (Ivy League),3,1-2,33,109,0.303,03/05/2018,2018.0
32,High Point (SoCon),6,0-6,59,195,0.303,03/05/2018,2018.0
33,Michigan (Big Ten),5,3-2,57,190,0.300,03/05/2018,2018.0
34,Rutgers (Big Ten),5,4-1,52,178,0.292,03/05/2018,2018.0
35,Quinnipiac (MAAC),4,2-2,47,161,0.292,03/05/2018,2018.0
36,Drexel (CAA),4,1-3,37,127,0.291,03/05/2018,2018.0
37,Boston U. (Patriot),6,4-2,62,213,0.291,03/05/2018,2018.0
38,Stony Brook (America East),5,1-4,41,141,0.291,03/05/2018,2018.0
39,Dartmouth (Ivy League),4,2-2,37,129,0.287,03/05/2018,2018.0
40,NJIT (Independent),6,0-6,42,147,0.286,03/05/2018,2018.0
40,Manhattan (MAAC),5,3-2,46,161,0.286,03/05/2018,2018.0
42,Villanova (Big East),5,5-0,59,208,0.284,03/05/2018,2018.0
43,Bryant (NEC),6,2-4,65,231,0.281,03/05/2018,2018.0
44,Monmouth (MAAC),4,2-2,45,160,0.281,03/05/2018,2018.0
45,Marist (MAAC),6,1-5,48,171,0.281,03/05/2018,2018.0
46,Wagner (NEC),4,1-3,30,109,0.275,03/05/2018,2018.0
47,Detroit Mercy (MAAC),6,2-4,47,171,0.275,03/05/2018,2018.0
48,Johns Hopkins (Big Ten),4,2-2,46,170,0.271,03/05/2018,2018.0
49,Marquette (Big East),4,3-1,38,141,0.270,03/05/2018,2018.0
50,Providence (Big East),5,3-2,46,174,0.264,03/05/2018,2018.0
51,Towson (CAA),5,2-3,47,178,0.264,03/05/2018,2018.0
52,UMass Lowell (America East),4,1-3,43,163,0.264,03/05/2018,2018.0
53,Massachusetts (CAA),4,1-3,40,156,0.256,03/05/2018,2018.0
54,Navy (Patriot),5,3-2,41,160,0.256,03/05/2018,2018.0
55,Siena (MAAC),3,2-1,33,129,0.256,03/05/2018,2018.0
56,Binghamton (America East),5,0-5,34,134,0.254,03/05/2018,2018.0
57,Penn (Ivy League),4,2-2,35,139,0.252,03/05/2018,2018.0
58,Richmond (SoCon),5,2-3,39,156,0.250,03/05/2018,2018.0
59,Hobart (NEC),4,1-3,44,177,0.249,03/05/2018,2018.0
60,Cleveland St. (Independent),7,1-6,56,228,0.246,03/05/2018,2018.0
61,Bellarmine (SoCon),6,2-4,48,201,0.239,03/05/2018,2018.0
62,VMI (Southland),3,1-2,27,118,0.229,03/05/2018,2018.0
63,Fairfield (CAA),5,1-4,43,189,0.228,03/05/2018,2018.0
64,Mercer (SoCon),5,1-4,35,154,0.227,03/05/2018,2018.0
65,UMBC (America East),4,1-3,27,124,0.218,03/05/2018,2018.0
66,Hofstra (CAA),3,1-2,23,106,0.217,03/05/2018,2018.0
67,Hampton (DI Independent),4,1-3,33,155,0.213,03/05/2018,2018.0
68,Air Force (SoCon),5,1-4,33,157,0.210,03/05/2018,2018.0
69,Lafayette (Patriot),6,2-4,46,219,0.210,03/05/2018,2018.0
1,Duke (ACC),6,5-1,93,218,0.427,03/04/2018,2018.0
2,Canisius (MAAC),4,3-1,50,125,0.400,03/04/2018,2018.0
3,Denver (Big East),4,3-1,53,133,0.398,03/04/2018,2018.0
4,Vermont (America East),6,6-0,71,185,0.384,03/04/2018,2018.0
5,Colgate (Patriot),5,3-2,70,183,0.383,03/04/2018,2018.0
6,Maryland (Big Ten),5,5-0,64,171,0.374,03/04/2018,2018.0
7,Hartford (America East),4,1-3,48,129,0.372,03/04/2018,2018.0
8,St. John's (NY) (Big East),4,2-2,46,124,0.371,03/04/2018,2018.0
9,Cornell (Ivy League),3,1-2,35,95,0.368,03/04/2018,2018.0
10,Yale (Ivy League),4,3-1,48,136,0.353,03/04/2018,2018.0
11,Georgetown (Big East),4,4-0,55,157,0.350,03/04/2018,2018.0
12,Penn St. (Big Ten),5,3-2,65,187,0.348,03/04/2018,2018.0
13,Virginia (ACC),5,4-1,73,213,0.343,03/04/2018,2018.0
14,Notre Dame (ACC),3,2-1,31,91,0.341,03/04/2018,2018.0
15,Robert Morris (NEC),5,3-2,61,181,0.337,03/04/2018,2018.0
16,Lehigh (Patriot),5,4-1,62,184,0.337,03/04/2018,2018.0
17,Ohio St. (Big Ten),6,5-1,64,190,0.337,03/04/2018,2018.0
18,Jacksonville (SoCon),6,2-4,66,200,0.330,03/04/2018,2018.0
19,Delaware (CAA),4,3-1,54,164,0.329,03/04/2018,2018.0
20,Sacred Heart (NEC),5,4-1,64,195,0.328,03/04/2018,2018.0
21,Furman (SoCon),5,0-5,54,165,0.327,03/04/2018,2018.0
22,Bucknell (Patriot),5,3-2,54,166,0.325,03/04/2018,2018.0
23,North Carolina (ACC),6,6-0,80,246,0.325,03/04/2018,2018.0
24,Brown (Ivy League),3,1-2,37,117,0.316,03/04/2018,2018.0
25,Loyola Maryland (Patriot),5,4-1,68,217,0.313,03/04/2018,2018.0
26,Syracuse (ACC),4,3-1,47,151,0.311,03/04/2018,2018.0
27,Mount St. Mary's (NEC),6,2-4,73,235,0.311,03/04/2018,2018.0
28,Army West Point (Patriot),5,4-1,64,207,0.309,03/04/2018,2018.0
29,Harvard (Ivy League),4,3-1,49,159,0.308,03/04/2018,2018.0
30,UAlbany (America East),3,3-0,44,143,0.308,03/04/2018,2018.0
31,Princeton (Ivy League),3,1-2,33,109,0.303,03/04/2018,2018.0
32,High Point (SoCon),6,0-6,59,195,0.303,03/04/2018,2018.0
33,Michigan (Big Ten),5,3-2,57,190,0.300,03/04/2018,2018.0
34,Rutgers (Big Ten),5,4-1,52,178,0.292,03/04/2018,2018.0
35,Quinnipiac (MAAC),4,2-2,47,161,0.292,03/04/2018,2018.0
36,Drexel (CAA),4,1-3,37,127,0.291,03/04/2018,2018.0
37,Boston U. (Patriot),6,4-2,62,213,0.291,03/04/2018,2018.0
38,Stony Brook (America East),5,1-4,41,141,0.291,03/04/2018,2018.0
39,Dartmouth (Ivy League),4,2-2,37,129,0.287,03/04/2018,2018.0
40,NJIT (Independent),6,0-6,42,147,0.286,03/04/2018,2018.0
40,Manhattan (MAAC),5,3-2,46,161,0.286,03/04/2018,2018.0
42,Villanova (Big East),5,5-0,59,208,0.284,03/04/2018,2018.0
43,Bryant (NEC),6,2-4,65,231,0.281,03/04/2018,2018.0
44,Monmouth (MAAC),4,2-2,45,160,0.281,03/04/2018,2018.0
45,Marist (MAAC),6,1-5,48,171,0.281,03/04/2018,2018.0
46,Wagner (NEC),4,1-3,30,109,0.275,03/04/2018,2018.0
47,Detroit Mercy (MAAC),6,2-4,47,171,0.275,03/04/2018,2018.0
48,Johns Hopkins (Big Ten),4,2-2,46,170,0.271,03/04/2018,2018.0
49,Marquette (Big East),4,3-1,38,141,0.270,03/04/2018,2018.0
50,Providence (Big East),5,3-2,46,174,0.264,03/04/2018,2018.0
51,Towson (CAA),5,2-3,47,178,0.264,03/04/2018,2018.0
52,UMass Lowell (America East),4,1-3,43,163,0.264,03/04/2018,2018.0
53,Massachusetts (CAA),4,1-3,40,156,0.256,03/04/2018,2018.0
54,Navy (Patriot),5,3-2,41,160,0.256,03/04/2018,2018.0
55,Siena (MAAC),3,2-1,33,129,0.256,03/04/2018,2018.0
56,Binghamton (America East),5,0-5,34,134,0.254,03/04/2018,2018.0
57,Penn (Ivy League),4,2-2,35,139,0.252,03/04/2018,2018.0
58,Richmond (SoCon),5,2-3,39,156,0.250,03/04/2018,2018.0
59,Hobart (NEC),4,1-3,44,177,0.249,03/04/2018,2018.0
60,Cleveland St. (Independent),7,1-6,56,228,0.246,03/04/2018,2018.0
61,Bellarmine (SoCon),6,2-4,48,201,0.239,03/04/2018,2018.0
62,VMI (Southland),3,1-2,27,118,0.229,03/04/2018,2018.0
63,Fairfield (CAA),5,1-4,43,189,0.228,03/04/2018,2018.0
64,Mercer (SoCon),5,1-4,35,154,0.227,03/04/2018,2018.0
65,UMBC (America East),4,1-3,27,124,0.218,03/04/2018,2018.0
66,Hofstra (CAA),3,1-2,23,106,0.217,03/04/2018,2018.0
67,Air Force (SoCon),5,1-4,33,157,0.210,03/04/2018,2018.0
68,Lafayette (Patriot),6,2-4,46,219,0.210,03/04/2018,2018.0
69,Hampton (DI Independent),3,0-3,22,109,0.202,03/04/2018,2018.0
1,Duke (ACC),5,4-1,79,182,0.434,02/28/2018,2018.0
2,Canisius (MAAC),3,2-1,38,90,0.422,02/28/2018,2018.0
3,Cornell (Ivy League),2,1-1,26,62,0.419,02/28/2018,2018.0
4,St. John's (NY) (Big East),3,2-1,38,96,0.396,02/28/2018,2018.0
5,Denver (Big East),3,2-1,40,102,0.392,02/28/2018,2018.0
6,Ohio St. (Big Ten),4,4-0,49,125,0.392,02/28/2018,2018.0
7,Hartford (America East),3,1-2,38,98,0.388,02/28/2018,2018.0
8,Vermont (America East),5,5-0,60,156,0.385,02/28/2018,2018.0
9,Colgate (Patriot),4,3-1,63,164,0.384,02/28/2018,2018.0
10,Penn St. (Big Ten),4,2-2,55,146,0.377,02/28/2018,2018.0
11,Brown (Ivy League),2,1-1,29,78,0.372,02/28/2018,2018.0
12,Maryland (Big Ten),4,4-0,52,142,0.366,02/28/2018,2018.0
13,North Carolina (ACC),5,5-0,71,201,0.353,02/28/2018,2018.0
14,Georgetown (Big East),4,4-0,55,157,0.350,02/28/2018,2018.0
15,Yale (Ivy League),3,2-1,37,106,0.349,02/28/2018,2018.0
16,Sacred Heart (NEC),4,3-1,54,156,0.346,02/28/2018,2018.0
17,Jacksonville (SoCon),5,2-3,56,162,0.346,02/28/2018,2018.0
18,Virginia (ACC),4,4-0,62,183,0.339,02/28/2018,2018.0
19,Robert Morris (NEC),4,2-2,45,135,0.333,02/28/2018,2018.0
20,Lehigh (Patriot),4,3-1,52,158,0.329,02/28/2018,2018.0
21,Furman (SoCon),4,0-4,46,141,0.326,02/28/2018,2018.0
21,Bucknell (Patriot),4,3-1,46,141,0.326,02/28/2018,2018.0
23,Delaware (CAA),3,3-0,42,129,0.326,02/28/2018,2018.0
24,Siena (MAAC),2,2-0,26,80,0.325,02/28/2018,2018.0
25,Syracuse (ACC),3,2-1,35,108,0.324,02/28/2018,2018.0
26,UAlbany (America East),2,2-0,33,103,0.320,02/28/2018,2018.0
27,Mount St. Mary's (NEC),5,1-4,57,178,0.320,02/28/2018,2018.0
28,Notre Dame (ACC),2,2-0,21,67,0.313,02/28/2018,2018.0
29,Army West Point (Patriot),4,3-1,51,164,0.311,02/28/2018,2018.0
30,High Point (SoCon),5,0-5,48,156,0.308,02/28/2018,2018.0
31,Princeton (Ivy League),2,1-1,24,79,0.304,02/28/2018,2018.0
32,Rutgers (Big Ten),4,3-1,42,139,0.302,02/28/2018,2018.0
33,Loyola Maryland (Patriot),4,3-1,55,183,0.301,02/28/2018,2018.0
34,Harvard (Ivy League),3,2-1,35,117,0.299,02/28/2018,2018.0
35,Marquette (Big East),2,2-0,24,81,0.296,02/28/2018,2018.0
36,Bryant (NEC),5,2-3,57,193,0.295,02/28/2018,2018.0
37,Marist (MAAC),5,1-4,43,146,0.295,02/28/2018,2018.0
38,Dartmouth (Ivy League),3,1-2,28,96,0.292,02/28/2018,2018.0
39,NJIT (Independent),5,0-5,36,124,0.290,02/28/2018,2018.0
40,Manhattan (MAAC),5,3-2,46,161,0.286,02/28/2018,2018.0
40,Wagner (NEC),3,1-2,22,77,0.286,02/28/2018,2018.0
42,UMass Lowell (America East),3,1-2,35,124,0.282,02/28/2018,2018.0
43,Michigan (Big Ten),4,2-2,44,157,0.280,02/28/2018,2018.0
44,Villanova (Big East),4,4-0,46,165,0.279,02/28/2018,2018.0
45,Towson (CAA),4,1-3,39,141,0.277,02/28/2018,2018.0
46,Boston U. (Patriot),5,3-2,47,170,0.276,02/28/2018,2018.0
47,Monmouth (MAAC),3,1-2,36,132,0.273,02/28/2018,2018.0
48,Quinnipiac (MAAC),3,1-2,29,108,0.269,02/28/2018,2018.0
49,Richmond (SoCon),4,2-2,35,132,0.265,02/28/2018,2018.0
50,Providence (Big East),4,3-1,37,141,0.262,02/28/2018,2018.0
51,Stony Brook (America East),4,0-4,30,115,0.261,02/28/2018,2018.0
52,Penn (Ivy League),3,2-1,28,108,0.259,02/28/2018,2018.0
52,Binghamton (America East),4,0-4,28,108,0.259,02/28/2018,2018.0
54,Detroit Mercy (MAAC),4,1-3,29,113,0.257,02/28/2018,2018.0
55,Massachusetts (CAA),4,1-3,40,156,0.256,02/28/2018,2018.0
56,Johns Hopkins (Big Ten),3,1-2,30,118,0.254,02/28/2018,2018.0
57,Drexel (CAA),3,0-3,22,89,0.247,02/28/2018,2018.0
58,Bellarmine (SoCon),4,1-3,36,152,0.237,02/28/2018,2018.0
59,Cleveland St. (Independent),6,1-5,45,192,0.234,02/28/2018,2018.0
60,Navy (Patriot),4,2-2,28,123,0.228,02/28/2018,2018.0
61,Mercer (SoCon),5,1-4,35,154,0.227,02/28/2018,2018.0
62,UMBC (America East),3,1-2,21,94,0.223,02/28/2018,2018.0
63,Fairfield (CAA),4,1-3,34,156,0.218,02/28/2018,2018.0
64,Hofstra (CAA),3,1-2,23,106,0.217,02/28/2018,2018.0
65,VMI (Southland),2,1-1,18,83,0.217,02/28/2018,2018.0
66,Lafayette (Patriot),5,2-3,42,194,0.216,02/28/2018,2018.0
67,Hobart (NEC),3,0-3,27,133,0.203,02/28/2018,2018.0
68,Hampton (DI Independent),2,0-2,15,75,0.200,02/28/2018,2018.0
69,Air Force (SoCon),4,1-3,24,129,0.186,02/28/2018,2018.0
1,Duke (ACC),5,4-1,79,182,0.434,02/27/2018,2018.0
2,Canisius (MAAC),3,2-1,38,90,0.422,02/27/2018,2018.0
3,Cornell (Ivy League),2,1-1,26,62,0.419,02/27/2018,2018.0
4,St. John's (NY) (Big East),3,2-1,38,96,0.396,02/27/2018,2018.0
5,Denver (Big East),3,2-1,40,102,0.392,02/27/2018,2018.0
6,Ohio St. (Big Ten),4,4-0,49,125,0.392,02/27/2018,2018.0
7,Hartford (America East),3,1-2,38,98,0.388,02/27/2018,2018.0
8,Vermont (America East),5,5-0,60,156,0.385,02/27/2018,2018.0
9,Colgate (Patriot),4,3-1,63,164,0.384,02/27/2018,2018.0
10,Penn St. (Big Ten),4,2-2,55,146,0.377,02/27/2018,2018.0
11,Brown (Ivy League),2,1-1,29,78,0.372,02/27/2018,2018.0
12,Maryland (Big Ten),4,4-0,52,142,0.366,02/27/2018,2018.0
13,North Carolina (ACC),4,4-0,57,159,0.358,02/27/2018,2018.0
14,Georgetown (Big East),4,4-0,55,157,0.350,02/27/2018,2018.0
15,Yale (Ivy League),3,2-1,37,106,0.349,02/27/2018,2018.0
16,Sacred Heart (NEC),4,3-1,54,156,0.346,02/27/2018,2018.0
17,Jacksonville (SoCon),5,2-3,56,162,0.346,02/27/2018,2018.0
18,Virginia (ACC),4,4-0,62,183,0.339,02/27/2018,2018.0
19,Robert Morris (NEC),4,2-2,45,135,0.333,02/27/2018,2018.0
20,Lehigh (Patriot),4,3-1,52,158,0.329,02/27/2018,2018.0
21,Bucknell (Patriot),4,3-1,46,141,0.326,02/27/2018,2018.0
21,Furman (SoCon),4,0-4,46,141,0.326,02/27/2018,2018.0
23,Delaware (CAA),3,3-0,42,129,0.326,02/27/2018,2018.0
24,Siena (MAAC),2,2-0,26,80,0.325,02/27/2018,2018.0
25,Syracuse (ACC),3,2-1,35,108,0.324,02/27/2018,2018.0
26,UAlbany (America East),2,2-0,33,103,0.320,02/27/2018,2018.0
27,Mount St. Mary's (NEC),5,1-4,57,178,0.320,02/27/2018,2018.0
28,Notre Dame (ACC),2,2-0,21,67,0.313,02/27/2018,2018.0
29,Army West Point (Patriot),4,3-1,51,164,0.311,02/27/2018,2018.0
30,Loyola Maryland (Patriot),3,2-1,43,139,0.309,02/27/2018,2018.0
31,High Point (SoCon),5,0-5,48,156,0.308,02/27/2018,2018.0
32,Princeton (Ivy League),2,1-1,24,79,0.304,02/27/2018,2018.0
33,Rutgers (Big Ten),4,3-1,42,139,0.302,02/27/2018,2018.0
34,Harvard (Ivy League),3,2-1,35,117,0.299,02/27/2018,2018.0
35,Marquette (Big East),2,2-0,24,81,0.296,02/27/2018,2018.0
36,Bryant (NEC),5,2-3,57,193,0.295,02/27/2018,2018.0
37,Marist (MAAC),5,1-4,43,146,0.295,02/27/2018,2018.0
38,Dartmouth (Ivy League),3,1-2,28,96,0.292,02/27/2018,2018.0
39,NJIT (Independent),5,0-5,36,124,0.290,02/27/2018,2018.0
40,Manhattan (MAAC),5,3-2,46,161,0.286,02/27/2018,2018.0
40,Wagner (NEC),3,1-2,22,77,0.286,02/27/2018,2018.0
42,UMass Lowell (America East),3,1-2,35,124,0.282,02/27/2018,2018.0
43,Michigan (Big Ten),4,2-2,44,157,0.280,02/27/2018,2018.0
44,Towson (CAA),3,1-2,31,111,0.279,02/27/2018,2018.0
45,Villanova (Big East),4,4-0,46,165,0.279,02/27/2018,2018.0
46,Boston U. (Patriot),5,3-2,47,170,0.276,02/27/2018,2018.0
47,Monmouth (MAAC),3,1-2,36,132,0.273,02/27/2018,2018.0
48,Quinnipiac (MAAC),3,1-2,29,108,0.269,02/27/2018,2018.0
49,Richmond (SoCon),4,2-2,35,132,0.265,02/27/2018,2018.0
50,Providence (Big East),4,3-1,37,141,0.262,02/27/2018,2018.0
51,Stony Brook (America East),4,0-4,30,115,0.261,02/27/2018,2018.0
52,Penn (Ivy League),3,2-1,28,108,0.259,02/27/2018,2018.0
52,Binghamton (America East),4,0-4,28,108,0.259,02/27/2018,2018.0
54,Detroit Mercy (MAAC),4,1-3,29,113,0.257,02/27/2018,2018.0
55,Massachusetts (CAA),4,1-3,40,156,0.256,02/27/2018,2018.0
56,Johns Hopkins (Big Ten),3,1-2,30,118,0.254,02/27/2018,2018.0
57,Drexel (CAA),3,0-3,22,89,0.247,02/27/2018,2018.0
58,Bellarmine (SoCon),4,1-3,36,152,0.237,02/27/2018,2018.0
59,Cleveland St. (Independent),6,1-5,45,192,0.234,02/27/2018,2018.0
60,Mercer (SoCon),4,1-3,28,120,0.233,02/27/2018,2018.0
61,Navy (Patriot),4,2-2,28,123,0.228,02/27/2018,2018.0
62,UMBC (America East),3,1-2,21,94,0.223,02/27/2018,2018.0
63,Fairfield (CAA),4,1-3,34,156,0.218,02/27/2018,2018.0
64,Hofstra (CAA),3,1-2,23,106,0.217,02/27/2018,2018.0
65,VMI (Southland),2,1-1,18,83,0.217,02/27/2018,2018.0
66,Lafayette (Patriot),5,2-3,42,194,0.216,02/27/2018,2018.0
67,Hobart (NEC),3,0-3,27,133,0.203,02/27/2018,2018.0
68,Hampton (DI Independent),2,0-2,15,75,0.200,02/27/2018,2018.0
69,Air Force (SoCon),4,1-3,24,129,0.186,02/27/2018,2018.0
1,Duke (ACC),5,4-1,79,182,0.434,02/25/2018,2018.0
2,Canisius (MAAC),3,2-1,38,90,0.422,02/25/2018,2018.0
3,Cornell (Ivy League),2,1-1,26,62,0.419,02/25/2018,2018.0
4,St. John's (NY) (Big East),3,2-1,38,96,0.396,02/25/2018,2018.0
5,Denver (Big East),3,2-1,40,102,0.392,02/25/2018,2018.0
6,Ohio St. (Big Ten),4,4-0,49,125,0.392,02/25/2018,2018.0
7,Vermont (America East),5,5-0,60,156,0.385,02/25/2018,2018.0
8,Colgate (Patriot),4,3-1,63,164,0.384,02/25/2018,2018.0
9,Penn St. (Big Ten),4,2-2,55,146,0.377,02/25/2018,2018.0
10,Brown (Ivy League),2,1-1,29,78,0.372,02/25/2018,2018.0
11,Maryland (Big Ten),4,4-0,52,142,0.366,02/25/2018,2018.0
12,Mount St. Mary's (NEC),4,1-3,51,141,0.362,02/25/2018,2018.0
13,North Carolina (ACC),4,4-0,57,159,0.358,02/25/2018,2018.0
14,Georgetown (Big East),3,3-0,39,112,0.348,02/25/2018,2018.0
15,Sacred Heart (NEC),4,3-1,54,156,0.346,02/25/2018,2018.0
16,Jacksonville (SoCon),5,2-3,56,162,0.346,02/25/2018,2018.0
17,Virginia (ACC),4,4-0,62,183,0.339,02/25/2018,2018.0
18,Robert Morris (NEC),4,2-2,45,135,0.333,02/25/2018,2018.0
19,Lehigh (Patriot),4,3-1,52,158,0.329,02/25/2018,2018.0
20,Furman (SoCon),4,0-4,46,141,0.326,02/25/2018,2018.0
20,Bucknell (Patriot),4,3-1,46,141,0.326,02/25/2018,2018.0
22,Delaware (CAA),3,3-0,42,129,0.326,02/25/2018,2018.0
23,Siena (MAAC),2,2-0,26,80,0.325,02/25/2018,2018.0
24,Yale (Ivy League),2,1-1,24,74,0.324,02/25/2018,2018.0
25,Syracuse (ACC),3,2-1,35,108,0.324,02/25/2018,2018.0
26,UAlbany (America East),2,2-0,33,103,0.320,02/25/2018,2018.0
27,Hartford (America East),2,0-2,22,69,0.319,02/25/2018,2018.0
28,Bryant (NEC),4,2-2,50,158,0.316,02/25/2018,2018.0
29,Notre Dame (ACC),2,2-0,21,67,0.313,02/25/2018,2018.0
30,Army West Point (Patriot),4,3-1,51,164,0.311,02/25/2018,2018.0
31,Loyola Maryland (Patriot),3,2-1,43,139,0.309,02/25/2018,2018.0
32,High Point (SoCon),5,0-5,48,156,0.308,02/25/2018,2018.0
33,Princeton (Ivy League),2,1-1,24,79,0.304,02/25/2018,2018.0
34,Rutgers (Big Ten),4,3-1,42,139,0.302,02/25/2018,2018.0
35,Villanova (Big East),3,3-0,34,113,0.301,02/25/2018,2018.0
36,Harvard (Ivy League),3,2-1,35,117,0.299,02/25/2018,2018.0
37,Marquette (Big East),2,2-0,24,81,0.296,02/25/2018,2018.0
38,Stony Brook (America East),3,0-3,28,95,0.295,02/25/2018,2018.0
39,Marist (MAAC),5,1-4,43,146,0.295,02/25/2018,2018.0
40,Dartmouth (Ivy League),3,1-2,28,96,0.292,02/25/2018,2018.0
41,NJIT (Independent),5,0-5,36,124,0.290,02/25/2018,2018.0
42,Manhattan (MAAC),5,3-2,46,161,0.286,02/25/2018,2018.0
42,Wagner (NEC),3,1-2,22,77,0.286,02/25/2018,2018.0
44,UMass Lowell (America East),3,1-2,35,124,0.282,02/25/2018,2018.0
45,Michigan (Big Ten),4,2-2,44,157,0.280,02/25/2018,2018.0
46,Towson (CAA),3,1-2,31,111,0.279,02/25/2018,2018.0
