Date,Team,Shot Percent
2015-04-30,Quinnipiac,0.276
2015-04-30,Saint Joseph's,0.275
2015-04-30,St. John's,0.274
2015-04-30,Air Force,0.274
2015-04-30,Jacksonville,0.274
2015-04-30,Loyola Maryland,0.273
2015-04-30,Boston U.,0.27
2015-04-30,Cornell,0.269
2015-04-30,Bryant,0.269
2015-04-30,Hobart,0.268
2015-04-30,Sacred Heart,0.267
2015-04-30,Michigan,0.267
2015-04-30,Maryland,0.265
2015-04-30,Lafayette,0.262
2015-04-30,Robert Morris,0.262
2015-04-30,Hofstra,0.255
2015-04-30,Providence,0.254
2015-04-30,Siena,0.248
2015-04-30,Villanova,0.243
2015-04-30,Canisius,0.241
2015-04-30,Towson,0.24
2015-04-30,Wagner,0.227
2015-04-30,Mount St. Mary's,0.227
2015-04-30,Drexel,0.225
2015-04-30,Monmouth,0.213
2015-04-30,Furman,0.211
2015-04-30,Mercer,0.205
2015-04-30,VMI,0.185
2015-04-30,Manhattan,0.176
2015-04-30,NJIT,0.172
2015-04-30,UMass Lowell,0.222
2015-04-26,Stony Brook,0.41
2015-04-26,UAlbany,0.368
2015-04-26,Colgate,0.361
2015-04-26,Denver,0.354
2015-04-26,Princeton,0.348
2015-04-26,Syracuse,0.348
2015-04-26,Notre Dame,0.344
2015-04-26,Virginia,0.34
2015-04-26,Marist,0.335
2015-04-26,North Carolina,0.332
2015-04-26,Yale,0.326
2015-04-26,Duke,0.325
2015-04-26,Richmond,0.325
2015-04-26,Johns Hopkins,0.317
2015-04-26,Harvard,0.316
2015-04-26,Army West Point,0.312
2015-04-26,Binghamton,0.308
2015-04-26,High Point,0.307
2015-04-26,Holy Cross,0.305
2015-04-26,Brown,0.304
2015-04-26,Marquette,0.301
2015-04-26,Georgetown,0.298
2015-04-26,Ohio St.,0.296
2015-04-26,Lehigh,0.294
2015-04-26,Bellarmine,0.293
2015-04-26,Hartford,0.292
2015-04-26,Massachusetts,0.29
2015-04-26,Detroit Mercy,0.289
2015-04-26,Vermont,0.288
2015-04-26,Navy,0.288
2015-04-26,Delaware,0.285
2015-04-26,Fairfield,0.283
2015-04-26,Penn,0.281
2015-04-26,Penn St.,0.279
2015-04-26,Rutgers,0.278
2015-04-26,Bucknell,0.277
2015-04-26,Dartmouth,0.277
2015-04-26,UMBC,0.276
2015-04-26,Saint Joseph's,0.276
2015-04-26,St. John's,0.274
2015-04-26,Air Force,0.274
2015-04-26,Jacksonville,0.274
2015-04-26,Loyola Maryland,0.273
2015-04-26,Boston U.,0.27
2015-04-26,Cornell,0.269
2015-04-26,Hobart,0.268
2015-04-26,Sacred Heart,0.267
2015-04-26,Michigan,0.267
2015-04-26,Maryland,0.265
2015-04-26,Quinnipiac,0.265
2015-04-26,Lafayette,0.262
2015-04-26,Robert Morris,0.262
2015-04-26,Bryant,0.259
2015-04-26,Hofstra,0.255
2015-04-26,Providence,0.254
2015-04-26,Siena,0.248
2015-04-26,Canisius,0.241
2015-04-26,Villanova,0.24
2015-04-26,Towson,0.234
2015-04-26,Mount St. Mary's,0.233
2015-04-26,Wagner,0.227
2015-04-26,Drexel,0.225
2015-04-26,Monmouth,0.214
2015-04-26,Furman,0.211
2015-04-26,Mercer,0.208
2015-04-26,VMI,0.185
2015-04-26,Manhattan,0.176
2015-04-26,NJIT,0.172
2015-04-26,UMass Lowell,0.222
2015-04-25,Stony Brook,0.41
2015-04-25,UAlbany,0.368
