Date,Year,Team 1,Score 1,Team 2,Score 2,Winner
2017-04-15,2017,Drexel,13,Hofstra,12,Drexel
2017-04-15,2017,Towson,10,Delaware,6,Towson
2017-04-15,2017,Bryant,6,Hobart,13,Hobart
2017-04-15,2017,Saint Joseph's,11,Sacred Heart,12,Sacred Heart
2017-04-15,2017,Mt. St. Mary's,6,Wagner,9,Wagner
2017-04-15,2017,Monmouth,11,Detroit,8,Monmouth
2017-04-15,2017,Marist,16,Manhattan,6,Marist
2017-04-15,2017,Siena,11,Canisius,10,Siena
2017-04-15,2017,NJIT,17,Hampton,3,NJIT
2017-04-15,2017,Syracuse,12,North Carolina,11,Syracuse
2017-04-15,2017,Virginia,11,Duke,20,Duke
2017-04-15,2017,Binghamton,6,UMBC,7,UMBC
2017-04-15,2017,Penn St.,11,Johns Hopkins,13,Johns Hopkins
2017-04-15,2017,Stony Brook,10,Vermont,9,Stony Brook
2017-04-15,2017,Brown,12,Yale,18,Yale
2017-04-15,2017,Princeton,16,Dartmouth,6,Princeton
2017-04-15,2017,Penn,14,Harvard,10,Penn
2017-04-15,2017,Richmond,13,Bellarmine,6,Richmond
2017-04-15,2017,Furman,13,High Point,8,Furman
2017-04-15,2017,Jacksonville,13,Mercer,7,Jacksonville
2017-04-15,2017,Air Force,14,VMI,4,Air Force
2017-04-15,2017,Marquette,7,Providence,9,Providence
2017-04-15,2017,Denver,18,St. John's (NY),12,Denver
2017-04-15,2017,Villanova,17,Georgetown,12,Villanova
2017-04-15,2017,Bucknell,11,Lafayette,7,Bucknell
2017-04-15,2017,Army,6,Navy,10,Navy
2017-04-15,2017,Loyola Maryland,11,Boston U.,12,Boston U.
2017-04-15,2017,Colgate,11,Holy Cross,12,Holy Cross
2017-04-18,2017,Sacred Heart,12,Hartford,14,Hartford
2017-04-18,2017,Canisius,7,Robert Morris,12,Robert Morris
2017-04-18,2017,Georgetown,11,Mt. St. Mary's,9,Georgetown
2017-04-18,2017,Brown,13,Providence,12,Brown
2017-04-21,2017,Holy Cross,11,Boston U.,12,Boston U.
2017-04-21,2017,Loyola Maryland,14,Army,6,Loyola Maryland
2017-04-21,2017,Bucknell,6,Lehigh,9,Lehigh
2017-04-21,2017,Quinnipiac,8,Siena,10,Siena
2017-04-21,2017,Stony Brook,12,Mass.-Lowell,11,Stony Brook
2017-04-21,2017,Canisius,6,Monmouth,11,Monmouth
2017-04-21,2017,Lafayette,6,Colgate,11,Colgate
2017-04-22,2017,Providence,2,Denver,12,Denver
2017-04-22,2017,Duke,11,Marquette,7,Duke
2017-04-22,2017,Michigan,9,Johns Hopkins,19,Johns Hopkins
2017-04-22,2017,Delaware,9,Drexel,14,Drexel
2017-04-22,2017,Towson,8,Fairfield,9,Fairfield
2017-04-22,2017,Massachusetts,8,Hofstra,15,Hofstra
2017-04-22,2017,Mt. St. Mary's,8,Hobart,15,Hobart
2017-04-22,2017,Wagner,5,Saint Joseph's,14,Saint Joseph's
2017-04-22,2017,Robert Morris,5,Bryant,13,Bryant
2017-04-22,2017,Detroit,6,Marist,7,Marist
2017-04-22,2017,NJIT,4,Manhattan,9,Manhattan
2017-04-22,2017,Cleveland St.,9,Sacred Heart,18,Sacred Heart
2017-04-22,2017,North Carolina,13,Notre Dame,14,Notre Dame
2017-04-22,2017,Maryland,10,Ohio St.,11,Ohio St.
2017-04-22,2017,UMBC,8,Hartford,13,Hartford
2017-04-22,2017,Binghamton,8,Syracuse,9,Syracuse
2017-04-22,2017,Cornell,10,Brown,13,Brown
2017-04-22,2017,Harvard,9,Princeton,12,Princeton
2017-04-22,2017,Dartmouth,4,Penn,9,Penn
2017-04-22,2017,Yale,12,Albany (NY),13,Albany (NY)
2017-04-22,2017,Richmond,7,Air Force,9,Air Force
2017-04-22,2017,VMI,3,Furman,18,Furman
2017-04-22,2017,High Point,13,Jacksonville,9,High Point
2017-04-22,2017,Bellarmine,12,Mercer,11,Bellarmine
2017-04-22,2017,St. John's (NY),3,Villanova,18,Villanova
2017-04-25,2017,Holy Cross,11,Navy,7,Holy Cross
2017-04-25,2017,Lehigh,4,Boston U.,10,Boston U.
2017-04-25,2017,Brown,14,Bryant,12,Brown
2017-04-28,2017,Holy Cross,3,Loyola Maryland,13,Loyola Maryland
2017-04-28,2017,Army,10,Boston U.,7,Army
2017-04-28,2017,Binghamton,6,Stony Brook,5,Binghamton
2017-04-28,2017,Syracuse,15,North Carolina,16,North Carolina
2017-04-28,2017,Drexel,8,Massachusetts,14,Massachusetts
2017-04-28,2017,Quinnipiac,6,Canisius,10,Canisius
2017-04-28,2017,Manhattan,3,Monmouth,7,Monmouth
2017-04-28,2017,Sacred Heart,13,Wagner,11,Sacred Heart
2017-04-28,2017,Delaware,7,Fairfield,11,Fairfield
2017-04-28,2017,Notre Dame,7,Duke,6,Notre Dame
2017-04-29,2017,Yale,8,Harvard,9,Harvard
2017-04-29,2017,Furman,4,Richmond,13,Richmond
2017-04-29,2017,Denver,16,Marquette,8,Denver
2017-04-29,2017,Johns Hopkins,5,Maryland,12,Maryland
2017-04-29,2017,Hartford,10,Albany,16,Albany
2017-04-29,2017,Mercer,11,VMI,8,Mercer
2017-04-29,2017,Saint Joseph's,15,Mt. St. Mary's,11,Saint Joseph's
2017-04-29,2017,Mass.-Lowell,12,NJIT,5,Mass.-Lowell
2017-04-29,2017,Detroit Mercy,6,Cleveland State,13,Cleveland State
2017-04-29,2017,Hofstra,8,Towson,10,Towson
2017-04-29,2017,Siena,5,Marist,6,Marist
2017-04-29,2017,St. John's,4,Georgetown,14,Georgetown
2017-04-29,2017,Air Force,16,High Point,11,Air Force
2017-04-29,2017,Jacksonville,17,Bellarmine,11,Jacksonville
2017-04-29,2017,Hobart,18,Robert Morris,17,Hobart
2017-04-29,2017,Virginia,11,Penn,17,Penn
2017-04-29,2017,Villanova,15,Providence,7,Villanova
